Rank,Image_Name,Domain,Ground_Truth,Raw_Pred,Sanitized_Pred,Corrected_Pred,CER_Raw,CER_Sanitized,CER_Corrected,WER_Corrected,Error_Category
1,handwritten_0235.png,handwritten,"Khu 5, Thị trấn Kỳ Sơn, Huyện Kỳ Sơn, Hòa Bình","Khuố, Thị","Khuố, Thị","Khuố, Thị",0.8261,0.8261,0.8261,0.9091,TRUNCATION
2,handwritten_0657.png,handwritten,"Số nhà 6, hẻm 124/22/53 âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà Nội","Số Tiền Đà, F9, Quận 5, TP Hồ Chí Minh","Số Tiền Đà, F9, Quận 5, TP Hồ Chí Minh","Số Tiền Đà, F9, Quận 5, TP Hồ Chí Minh",0.7727,0.7727,0.7727,0.9333,SUBSTITUTION
3,printed_0377.png,printed,quân sang đây... Phỏng chừng nhà nước chịu được mấy phen,quân sang đây.................................................................................................................................................................................................................................................,quân sang đây...,quân sang đây...,4.2500,0.7143,0.7143,0.7273,HALLUCINATION_LOOP
4,handwritten_0466.png,handwritten,"Hoá Thượng, Huyện Đồng Hỷ, Thái Nguyên","Hoà Thực vợi, ĐDND Y Cộn Đồng ty, Ứn Nguyễn","Hoà Thực vợi, ĐDND Y Cộn Đồng ty, Ứn Nguyễn","Hoà Thực vợi, ĐDND Y Cộn Đồng ty, Ứn Nguyễn",0.6053,0.6053,0.6053,1.2857,SUBSTITUTION
5,handwritten_0386.png,handwritten,"Số 339, phố Huế, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội","Chong cố 739, phố thiếng Phường Phồ Đe Lê Quận đà Trương 15/002","Chong cố 739, phố thiếng Phường Phồ Đe Lê Quận đà Trương 15/002","Chong cố 739, phố thiếng Phường Phồ Đe Lê Quận đà Trương 15/002",0.5517,0.5517,0.5517,0.9231,SUBSTITUTION
6,handwritten_0178.png,handwritten,"Một món quà ý nghĩa hơn cả những món quà quý giá, hạnh phúc ấy long lanh in trong mắt","một nói giảa làm "" cả dũng má quà ýy góp. hoà phúc ấy bị doái - Lo chong đót","một nói giảa làm "" cả dũng má quà ýy góp. hoà phúc ấy bị doái - Lo chong đót","một nói giảa làm "" cả dũng má quà ýy góp. hoà phúc ấy bị doái - Lo chong đót",0.5294,0.5294,0.5294,0.8500,SUBSTITUTION
7,handwritten_0305.png,handwritten,"Số 49, ngõ 93, phố 8/3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội","Số 47, ngõ 5 93, Phố I7 / TP Uy Côn Muyệnh Ma, Quận và kim, Hời","Số 47, ngõ 5 93, Phố I7 / TP Uy Côn Muyệnh Ma, Quận và kim, Hời","Số 47, ngõ 5 93, Phố I7 / TP Uy Côn Muyệnh Ma, Quận và kim, Hời",0.5075,0.5075,0.5075,0.9333,SUBSTITUTION
8,printed_0898.png,printed,Quyển VI,QUYỂN VI,QUYỂN VI,QUYỂN VI,0.5000,0.5000,0.5000,0.5000,SUBSTITUTION
9,handwritten_0665.png,handwritten,"Số 39 ngõ 23 phố Đỗ Quang, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","ở Độ Người F Quan, Hoàng Trung Hò, Gòm Cầu Gốn, HồNG","ở Độ Người F Quan, Hoàng Trung Hò, Gòm Cầu Gốn, HồNG","ở Độ Người F Quan, Hoàng Trung Hò, Gòm Cầu Gốn, HồNG",0.5000,0.5000,0.5000,0.8667,SUBSTITUTION
10,handwritten_0298.png,handwritten,"Số 127H Thụy Khuê, Phường Thuỵ Khuê, Quận Tây Hồ, Hà Nội","Số 127 Thực, Khuêng thôy Quy sao? Quận Một tây Hồ, Nội","Số 127 Thực, Khuêng thôy Quy sao? Quận Một tây Hồ, Nội","Số 127 Thực, Khuêng thôy Quy sao? Quận Một tây Hồ, Nội",0.4821,0.4821,0.4821,0.7500,SUBSTITUTION
11,handwritten_0625.png,handwritten,"Số 15 Đông Khê, Phường Đông Khê, Quận Ngô Quyền, Hải Phòng","Số I5ĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐĐường Khô, sực Tên quyền, Hải Phòn có","Số I5ĐĐĐường Khô, sực Tên quyền, Hải Phòn có","Số I5ĐĐĐường Khô, sực Tên quyền, Hải Phòng",1.5517,0.5172,0.4655,0.7500,HALLUCINATION_LOOP
12,handwritten_0125.png,handwritten,tôn vinh thì trái lại những con người ấy đã bị đẩy xuống đáy cùng của cuộc,"tỉ inh thì bạ không ba Người cậng phĩ bị dây xuống đây cùng mặi,","tỉ inh thì bạ không ba Người cậng phĩ bị dây xuống đây cùng mặi,","tỉ inh thì bạ không ba Người cậng phĩ bị dây xuống đây cùng mặi,",0.4595,0.4595,0.4595,0.7647,SUBSTITUTION
